"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","Change","Acres","Shape_Leng","Shape_Area","long_name","bay_segment","geometry"
"1","Site-01","Base","None",-82.6470714302979,27.9034584275492,"None",491684.932655188,2.0338227462042e-06,"None","Loss",9.65751586354,7340.56949787,420683.073748,"Old Tampa Bay","OTB",c(x = 447174.933077568, y = 1298157.98870292)
"2","Site-02","Base","None",-82.7040282527513,27.927017285361,"None",491684.932655188,2.0338227462042e-06,"None","Loss",22.3188653929,13813.8421855,972213.665364,"Old Tampa Bay","OTB",c(x = 428827.737974426, y = 1306824.79072883)
"3","Site-03","Base","None",-82.6881336846204,27.9804492912985,"None",491684.932655188,2.0338227462042e-06,"None","Loss",73.2425665958,15766.9634817,3190458.96273,"Old Tampa Bay","OTB",c(x = 434069.793718181, y = 1326221.91907254)
"4","Site-04","Base","None",-82.5565077923978,27.9379088119641,"None",491684.932655188,2.0338227462042e-06,"None","Loss",1.42056728708,5023.63143564,61880.1585476,"Old Tampa Bay","OTB",c(x = 476482.79019038, y = 1310539.13445422)
"5","Site-05","Base","None",-82.6363581708182,27.9006704223653,"None",491684.932655188,2.0338227462042e-06,"None","Loss",4.52666168568,2934.0064533,197182.171756,"Old Tampa Bay","OTB",c(x = 450629.924363225, y = 1297126.22655697)
"6","Site-06","Base","None",-82.6786434756346,27.9975235025499,"None",491684.932655188,2.0338227462042e-06,"None","Loss",26.2660697626,8409.91535685,1144154.57547,"Old Tampa Bay","OTB",c(x = 437167.372112218, y = 1332412.4919482)
"7","Site-07","Base","None",-82.594179921196,27.8770202723014,"None",491684.932655188,2.0338227462042e-06,"None","Loss",3.21699309541,4999.78410031,140132.779768,"Old Tampa Bay","OTB",c(x = 464211.614244772, y = 1288459.42453106)
"8","Site-08","Base","None",-82.6091309907291,27.9785515241518,"None",491684.932655188,2.0338227462042e-06,"None","Loss",44.5204174668,7697.50086953,1939317.14211,"Old Tampa Bay","OTB",c(x = 459565.246653716, y = 1325396.50935579)
"9","Site-09","Base","None",-82.6759051079626,27.9135363817763,"None",491684.932655188,2.0338227462042e-06,"None","Loss",4.03257717807,6397.95388796,175659.764515,"Old Tampa Bay","OTB",c(x = 437882.197895457, y = 1301872.33242831)
"10","Site-10","Base","None",-82.6896173382587,27.981576998626,"None",491684.932655188,2.0338227462042e-06,"None","Loss",73.2425665958,15766.9634817,3190458.96273,"Old Tampa Bay","OTB",c(x = 433593.243196021, y = 1326634.62393092)
"11","Site-11","Base","None",-82.6253516674142,27.9109372257411,"None",491684.932655188,2.0338227462042e-06,"None","Loss",23.9125600138,17040.8616583,1041635.28074,"Old Tampa Bay","OTB",c(x = 454204.053279421, y = 1300840.57028237)
"12","Site-12","Base","None",-82.6084055158132,27.9808250303982,"None",491684.932655188,2.0338227462042e-06,"None","Loss",44.5204174668,7697.50086953,1939317.14211,"Old Tampa Bay","OTB",c(x = 459803.521914796, y = 1326221.91907254)
"13","Site-13","Base","None",-82.664684759192,28.008943058361,"None",491684.932655188,2.0338227462042e-06,"None","Loss",0.579919104751,813.182691097,25261.3772486,"Old Tampa Bay","OTB",c(x = 441694.602072733, y = 1336539.54053197)
"14","Site-14","Base","None",-82.6914520376265,27.9798650823756,"None",491684.932655188,2.0338227462042e-06,"None","Loss",73.2425665958,15766.9634817,3190458.96273,"Old Tampa Bay","OTB",c(x = 432997.555043322, y = 1326015.56664336)
"15","Site-15","Base","None",-82.610641207322,27.918949313669,"None",491684.932655188,2.0338227462042e-06,"None","Loss",23.9125600138,17040.8616583,1041635.28074,"Old Tampa Bay","OTB",c(x = 458969.558501017, y = 1303729.504291)
"16","Site-16","Base","None",-82.6035785757092,27.975738125935,"None",491684.932655188,2.0338227462042e-06,"None","Loss",33.0455762492,11312.227865,1439471.05929,"Old Tampa Bay","OTB",c(x = 461352.311111815, y = 1324364.74720985)
"17","Site-17","Base","None",-82.692938759905,27.9236680869717,"None",491684.932655188,2.0338227462042e-06,"None","Loss",0.701530119396,2545.53480055,30558.7742348,"Old Tampa Bay","OTB",c(x = 432401.866890622, y = 1305586.6761537)
"18","Site-18","Base","None",-82.535473497401,27.9374246352286,"None",491684.932655188,2.0338227462042e-06,"None","Loss",10.9142345704,7576.36866521,475425.959586,"Old Tampa Bay","OTB",c(x = 483273.635131154, y = 1310332.78202503)
"19","Site-19","Base","None",-82.6801201439658,27.9975162064688,"None",491684.932655188,2.0338227462042e-06,"None","Loss",26.2660697626,8409.91535685,1144154.57547,"Old Tampa Bay","OTB",c(x = 436690.821590058, y = 1332412.4919482)
"20","Site-20","Base","None",-82.6091246133979,27.9774164043135,"None",491684.932655188,2.0338227462042e-06,"None","Loss",44.5204174668,7697.50086953,1939317.14211,"Old Tampa Bay","OTB",c(x = 459565.246653716, y = 1324983.80449741)
"21","Site-21","Base","None",-82.6633492558961,27.9113271035752,"None",491684.932655188,2.0338227462042e-06,"None","Loss",4.4804621137,4038.97489272,195169.71035,"Old Tampa Bay","OTB",c(x = 441932.877333813, y = 1301046.92271155)
"22","Site-22","Base","None",-82.6907138255264,27.9798687911029,"None",491684.932655188,2.0338227462042e-06,"None","Loss",73.2425665958,15766.9634817,3190458.96273,"Old Tampa Bay","OTB",c(x = 433235.830304401, y = 1326015.56664336)
"23","Site-23","Base","None",-82.6202132931671,27.9155010805617,"None",491684.932655188,2.0338227462042e-06,"None","Loss",7.8308649331,6616.67045679,341113.840939,"Old Tampa Bay","OTB",c(x = 455871.98010698, y = 1302491.38971587)
