"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","Change","Acres","Shape_Leng","Shape_Area","long_name","bay_segment","geometry"
"1","Site-01","Base","None",-82.535948391359,27.9055104124963,"None",491684.932655188,2.0338227462042e-06,"None","Loss",0.087123751601,529.592925877,3795.12580045,"Old Tampa Bay","OTB",c(x = 483069.475784747, y = 1298730.60383702)
"2","Site-02","Base","None",-82.6508234300875,27.9316918387408,"None",491684.932655188,2.0338227462042e-06,"None","Loss",0.470438956288,515.485175952,20492.4029066,"Old Tampa Bay","OTB",c(x = 446017.672686842, y = 1308429.16800887)
"3","Site-03","Base","None",-82.5735181093437,27.9649550292568,"None",491684.932655188,2.0338227462042e-06,"None","Loss",1.01622565077,1716.34155625,44266.9664155,"Old Tampa Bay","OTB",c(x = 471036.575100219, y = 1320397.6089018)
"4","Site-04","Base","None",-82.608299100221,27.9806977615458,"None",491684.932655188,2.0338227462042e-06,"None","Loss",44.5204174668,7697.50086953,1939317.14211,"Old Tampa Bay","OTB",c(x = 459837.637829469, y = 1326175.47691908)
"5","Site-05","Base","None",-82.6014300797692,27.8734556022808,"None",491684.932655188,2.0338227462042e-06,"None","Loss",7.60061653342,13379.1562666,331084.180536,"Old Tampa Bay","OTB",c(x = 461862.977548647, y = 1287174.86780246)
"6","Site-06","Base","None",-82.686887491655,27.9752196591504,"None",491684.932655188,2.0338227462042e-06,"None","Loss",12.8891601847,5697.01649484,561454.063457,"Old Tampa Bay","OTB",c(x = 434461.322524473, y = 1324318.30505638)
"7","Site-07","Base","None",-82.5701696892846,27.9598607459525,"None",491684.932655188,2.0338227462042e-06,"None","Loss",5.18639192815,4396.94997141,225920.136071,"Old Tampa Bay","OTB",c(x = 472108.813775078, y = 1318540.43703911)
"8","Site-08","Base","None",-82.6101350919518,27.9789869087632,"None",491684.932655188,2.0338227462042e-06,"None","Loss",44.5204174668,7697.50086953,1939317.14211,"Old Tampa Bay","OTB",c(x = 459241.94967677, y = 1325556.41963151)
"9","Site-09","Base","None",-82.6243902535814,27.8903809860243,"None",491684.932655188,2.0338227462042e-06,"None","Loss",9.20143902965,8427.78307726,400816.287396,"Old Tampa Bay","OTB",c(x = 454476.444455174, y = 1293365.44067812)
"10","Site-10","Base","None",-82.6898402149883,27.9752048848561,"None",491684.932655188,2.0338227462042e-06,"None","Loss",12.8891601847,5697.01649484,561454.063457,"Old Tampa Bay","OTB",c(x = 433508.221480154, y = 1324318.30505638)
"11","Site-11","Base","None",-82.602386949691,27.979588630449,"None",491684.932655188,2.0338227462042e-06,"None","Loss",4.92859577466,4708.86094474,214690.490705,"Old Tampa Bay","OTB",c(x = 461743.839918107, y = 1325762.7720607)
"12","Site-12","Base","None",-82.6428506835078,27.8937016073387,"None",491684.932655188,2.0338227462042e-06,"None","Loss",3.41548517533,4335.82061807,148779.129354,"Old Tampa Bay","OTB",c(x = 448519.56292818, y = 1294603.55525325)
"13","Site-13","Base","None",-82.693204839003,27.9241065819207,"None",491684.932655188,2.0338227462042e-06,"None","Loss",0.880360413401,888.978629116,38348.6530028,"Old Tampa Bay","OTB",c(x = 432316.845174755, y = 1305746.58642942)
"14","Site-14","Base","None",-82.689789674957,27.967259165552,"None",491684.932655188,2.0338227462042e-06,"None","Loss",5.58849240949,4083.51747138,243435.7031,"Old Tampa Bay","OTB",c(x = 433508.221480154, y = 1321429.37104774)
"15","Site-15","Base","None",-82.6250107080138,27.9982175816424,"None",491684.932655188,2.0338227462042e-06,"None","Loss",27.5184616918,14109.2661676,1198708.98612,"Old Tampa Bay","OTB",c(x = 454476.444455174, y = 1332572.40222392)
"16","Site-16","Base","None",-82.6403257545729,27.903362196291,"None",491684.932655188,2.0338227462042e-06,"None","Loss",5.95069887501,5269.29175479,259213.479851,"Old Tampa Bay","OTB",c(x = 449353.526341959, y = 1298111.54654945)
"17","Site-17","Base","None",-82.6869450296326,27.9843004754934,"None",491684.932655188,2.0338227462042e-06,"None","Loss",73.2425665958,15766.9634817,3190458.96273,"Old Tampa Bay","OTB",c(x = 434461.322524473, y = 1327619.9439234)
"18","Site-18","Base","None",-82.6090245765815,27.9784242557972,"None",491684.932655188,2.0338227462042e-06,"None","Loss",44.5204174668,7697.50086953,1939317.14211,"Old Tampa Bay","OTB",c(x = 459599.36256839, y = 1325350.06720233)
"19","Site-19","Base","None",-82.6879983643002,27.9757816774598,"None",491684.932655188,2.0338227462042e-06,"None","Loss",12.8891601847,5697.01649484,561454.063457,"Old Tampa Bay","OTB",c(x = 434103.909632854, y = 1324524.65748557)
"20","Site-20","Base","None",-82.6068162864294,27.9795691627939,"None",491684.932655188,2.0338227462042e-06,"None","Loss",44.5204174668,7697.50086953,1939317.14211,"Old Tampa Bay","OTB",c(x = 460314.188351629, y = 1325762.7720607)
"21","Site-21","Base","None",-82.626975172119,27.8909368334837,"None",491684.932655188,2.0338227462042e-06,"None","Loss",9.20143902965,8427.78307726,400816.287396,"Old Tampa Bay","OTB",c(x = 453642.481041395, y = 1293571.7931073)
"22","Site-22","Base","None",-82.6902201437297,27.9769056864131,"None",491684.932655188,2.0338227462042e-06,"None","Loss",73.2425665958,15766.9634817,3190458.96273,"Old Tampa Bay","OTB",c(x = 433389.083849614, y = 1324937.36234395)
"23","Site-23","Base","None",-82.603472170821,27.9756108530879,"None",491684.932655188,2.0338227462042e-06,"None","Loss",33.0455762492,11312.227865,1439471.05929,"Old Tampa Bay","OTB",c(x = 461386.427026488, y = 1324318.30505638)
"24","Site-24","Base","None",-82.6569685405975,27.9106623593085,"None",491684.932655188,2.0338227462042e-06,"None","Loss",7.9269448509,4943.62667981,345299.098899,"Old Tampa Bay","OTB",c(x = 443992.332967664, y = 1300794.1281289)
"25","Site-25","Base","None",-82.7083710796637,27.9302727087633,"None",491684.932655188,2.0338227462042e-06,"None","Loss",22.3188653929,13813.8421855,972213.665364,"Old Tampa Bay","OTB",c(x = 427432.20232262, y = 1308016.4631505)
