"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","FLUCCSCODE","long_name","bay_segment","geometry"
"1","Site-01","Base","None",-82.6295694941176,27.8907432072415,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 452804.087749382, y = 1293505.69616883)
"2","Site-02","Base","None",-82.6251915841758,27.9966849182201,"None",3596780.55031385,2.78026414459103e-07,"None",9113,"Old Tampa Bay","OTB",c(x = 454415.220212714, y = 1332015.46949098)
"3","Site-03","Base","None",-82.5843606328628,27.8310724661569,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 467304.279919367, y = 1271739.30255196)
"4","Site-04","Base","None",-82.5705798817524,27.8649029321146,"None",3596780.55031385,2.78026414459103e-07,"None",9113,"Old Tampa Bay","OTB",c(x = 471815.450816696, y = 1284017.7810025)
"5","Site-05","Base","None",-82.5841298671582,27.9738390459114,"None",3596780.55031385,2.78026414459103e-07,"None",9113,"Old Tampa Bay","OTB",c(x = 467626.506412034, y = 1323643.77963834)
"6","Site-06","Base","None",-82.7116247660551,27.9302563804515,"None",3596780.55031385,2.78026414459103e-07,"None",9113,"Old Tampa Bay","OTB",c(x = 426381.515350742, y = 1308016.62524674)
"7","Site-07","Base","None",-82.5954696957236,27.8571221197845,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 463759.788500038, y = 1281227.21771829)
"8","Site-08","Base","None",-82.5385305024605,27.8373994069286,"None",3596780.55031385,2.78026414459103e-07,"None",9113,"Old Tampa Bay","OTB",c(x = 482126.698582019, y = 1273971.75317933)
"9","Site-09","Base","None",-82.545004388914,27.9356218925424,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 480193.339626021, y = 1309690.96321727)
"10","Site-10","Base","None",-82.6549601731177,27.965844646364,"None",3596780.55031385,2.78026414459103e-07,"None",9113,"Old Tampa Bay","OTB",c(x = 444748.425432723, y = 1320853.21635413)
