"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","FLUCCS_Des","FLUCCS_Cod","acres","Shape_Leng","Shape_Area","long_name","bay_segment","geometry"
"1","Site-01","Base","None",-82.5357876162277,27.881967933993,"None",3352490.45664171,2.98285711155083e-07,"None","Continuous Seagrass",9116,228.960113969,55398.9987831,9973542.45864,"Old Tampa Bay","OTB",c(x = 483083.956824354, y = 1290171.22244544)
"2","Site-02","Base","None",-82.5906032946355,27.8684055877156,"None",3352490.45664171,2.98285711155083e-07,"None","Patchy Seagrass",9113,49.1472057307,33674.9618092,2140860.84506,"Old Tampa Bay","OTB",c(x = 465352.004431237, y = 1285321.85784614)
"3","Site-03","Base","None",-82.551014917234,27.8463385538284,"None",3352490.45664171,2.98285711155083e-07,"None","Patchy Seagrass",9113,1.25783906319,2107.24271437,54791.688759,"Old Tampa Bay","OTB",c(x = 478106.566678918, y = 1277239.58351396)
"4","Site-04","Base","None",-82.5341091370604,27.9323641506328,"None",3352490.45664171,2.98285711155083e-07,"None","Patchy Seagrass",9113,1.02594885874,1945.74875621,44690.5110488,"Old Tampa Bay","OTB",c(x = 483706.130592534, y = 1308491.04426505)
"5","Site-05","Base","None",-82.5339780661794,27.9056878017891,"None",3352490.45664171,2.98285711155083e-07,"None","Patchy Seagrass",9113,11.8296120154,12230.2496204,515299.96059,"Old Tampa Bay","OTB",c(x = 483706.130592534, y = 1298792.31506643)
"6","Site-06","Base","None",-82.5953445273958,27.8550467448677,"None",3352490.45664171,2.98285711155083e-07,"None","Continuous Seagrass",9116,673.36552227,170160.084989,29331919.4777,"Old Tampa Bay","OTB",c(x = 463796.570010788, y = 1280472.49324683)
"7","Site-07","Base","None",-82.5376549777426,27.8701042146384,"None",3352490.45664171,2.98285711155083e-07,"None","Continuous Seagrass",9116,228.960113969,55398.9987831,9973542.45864,"Old Tampa Bay","OTB",c(x = 482461.783056175, y = 1285860.67613495)
"8","Site-08","Base","None",-82.5525720916581,27.963414123425,"None",3352490.45664171,2.98285711155083e-07,"None","Continuous Seagrass",9116,70.222103235,14192.6108827,3058887.05245,"Old Tampa Bay","OTB",c(x = 477795.479794828, y = 1319806.22833009)
"9","Site-09","Base","None",-82.5884855928147,27.8328453351243,"None",3352490.45664171,2.98285711155083e-07,"None","Continuous Seagrass",9116,673.36552227,170160.084989,29331919.4777,"Old Tampa Bay","OTB",c(x = 465974.178199416, y = 1272390.21891466)
"10","Site-10","Base","None",-82.6149501675362,27.9172065455525,"None",3352490.45664171,2.98285711155083e-07,"None","Patchy Seagrass",9113,9.44406105342,7236.22092535,411384.945025,"Old Tampa Bay","OTB",c(x = 457574.832328992, y = 1303102.86137693)
