"deploy_date","site","group","percent","species"
2022-08-24,"2","seagrass","1-5","Halodule"
2022-08-24,"5","seagrass","None",NA
2022-08-24,"6","seagrass","Solitary","Halodule"
2022-08-24,"3","seagrass","None",NA
2022-08-24,"4","seagrass","None",NA
2022-08-24,"1","seagrass","76-100","Syringodium"
2022-09-22,"7","seagrass","1-5","Halodule"
2022-09-22,"11","seagrass","None",NA
2022-09-22,"8","seagrass","None",NA
2022-09-22,"9","seagrass","None",NA
2022-09-22,"12","seagrass","None",NA
2022-09-22,"10","seagrass","None",NA
2023-07-06,"1NEB1","seagrass","NONE",NA
2023-07-06,"1NES1","seagrass","6-25","Halodule"
2023-07-06,"1CES2","seagrass","75-100","Halodule"
2023-07-06,"1CWB2","seagrass","None",NA
2023-07-06,"1SWB3","seagrass","None",NA
2023-07-06,"1SWS3","seagrass","6-25","Thalassia"
2023-07-06,"1SWS3","seagrass","1-5","Halodule"
2023-07-06,"1SWS3","seagrass","<1","Syringodium"
2022-08-24,"2","macro","1-5","Gracilaria"
2022-08-24,"5","macro","6-25","Caulerpa"
2022-08-24,"6","macro","None",NA
2022-08-24,"3","macro","76-100","Caulerpa"
2022-08-24,"3","macro","76-100","Acanthophora"
2022-08-24,"3","macro","76-100","Gracilaria"
2022-08-24,"3","macro","76-100","Dapis"
2022-08-24,"4","macro","None",NA
2022-08-24,"1","macro","1-5","Gracilaria"
2022-09-22,"7","macro","1-5","Hypnea"
2022-09-22,"7","macro","1-5","Mixed Red"
2022-09-22,"11","macro","75-100","Caulerpa"
2022-09-22,"11","macro","75-100","Dapis"
2022-09-22,"8","macro","75-100","Caulerpa"
2022-09-22,"8","macro","75-100","Dapis"
2022-09-22,"9","macro","75-100","Caulerpa"
2022-09-22,"9","macro","75-100","Dapis"
2022-09-22,"12","macro","1-5","Caulerpa"
2022-09-22,"12","macro","1-5","Acanthophora"
2022-09-22,"10","macro","None",NA
2023-07-06,"1NEB1","macro","<1","Acanthophora"
2023-07-06,"1NES1","macro","50-75","Dapis"
2023-07-06,"1NES1","macro","1-5","Gracilaria"
2023-07-06,"1CES2","macro","None",NA
2023-07-06,"1CWB2","macro","100","Dapis"
2023-07-06,"1CWB2","macro","<1","Caulerpa"
2023-07-06,"1SWB3","macro","None",NA
2023-07-06,"1SWS3","macro","1-5","Gracilaria"
